model,n_centroids,n_probe,query_method,index_build_time,Query Time,Queries per second,Top-K Vote Accuracy,Top-K Average Accuracy,Mean Average Precision (MAP),Normalized Discounted Cumulative Gain (nDCG),Mean Reciprocal Rank (MRR),Top-K Vote Accuracy_gini,Top-K Vote Accuracy_celltype_gini,Top-K Average Accuracy_gini,Top-K Average Accuracy_celltype_gini,MAP_gini,MAP_celltype_gini,nDCG_gini,nDCG_celltype_gini,MRR_gini,MRR_celltype_gini,Average Entropy,Average α-NDCG
scimilarity,64,1,10x Chromium (v2) A,0.1138379573822021,0.0086438655853271,372749.8962350021,0.9438237119801366,0.8935071384233396,0.9049206195807942,0.9550489210472598,0.9305511662106009,0.0561762880198634,0.0271032352206416,0.0895264575095259,0.0497901346447883,0.0797661595308851,0.0451313169387704,0.0384395069765889,0.0190190131109285,0.0674536944600216,0.031885180509208,1.411362793868802,0.891493528494511
scimilarity,64,2,10x Chromium (v2) A,0.1138379573822021,0.0121321678161621,265574.961443226,0.9490999379267536,0.8958535071384234,0.9055829190282946,0.9559447809587468,0.9305417874959512,0.0509000620732464,0.0261960503266111,0.0865357192217512,0.0469194687810184,0.0789212819898043,0.0438415624130484,0.037522800473115,0.0186610374134407,0.0674449816169549,0.0310548913843702,1.3788113886437794,0.89205737157719
scimilarity,64,4,10x Chromium (v2) A,0.1138379573822021,0.018540620803833,173780.5887995885,0.9515828677839852,0.8962011173184358,0.9056179704688672,0.9560727996662352,0.9296392185110444,0.0484171322160148,0.0260649718730043,0.0859011217355914,0.0465400364128607,0.078760285229641,0.0434442032555258,0.037360287770575,0.018634477868803,0.0682533590211807,0.0316347993962454,1.3708207771705594,0.8918311103076193
scimilarity,64,8,10x Chromium (v2) A,0.1138379573822021,0.033761978149414,95432.79679114174,0.952203600248293,0.8962631905648665,0.9055453832753164,0.956184129677651,0.9295931223646586,0.047796399751707,0.0261032142008208,0.0856758258452733,0.0467754516514982,0.0787653914340952,0.0435890538977783,0.0372196172460828,0.0187832826571011,0.0682815939342653,0.0319308258021209,1.372043371135184,0.8919772954355869
scimilarity,64,16,10x Chromium (v2) A,0.1138379573822021,0.0596778392791748,53989.89036662978,0.951893234016139,0.8964121663563004,0.905520851121962,0.9561694522040008,0.9295417283864308,0.0481067659838609,0.0261497794664247,0.0855121037672499,0.0467370550882523,0.0788026494385815,0.0436051650565996,0.037237752287194,0.0187858077393335,0.0683347704437943,0.03193196755527,1.371385731713533,0.8921440067377248
scimilarity,64,32,10x Chromium (v2) A,0.1138379573822021,0.1031384468078613,31239.562934298672,0.951893234016139,0.8964742396027314,0.9054677508031904,0.956146374822246,0.9295413946592996,0.0481067659838609,0.0261497794664247,0.0854430745624812,0.0467375650161797,0.0788595038120943,0.0436305304885536,0.0372598605914711,0.0187866908500554,0.068335152775282,0.0319319749695184,1.371494945500941,0.8921904833987366
scimilarity,64,1,10x Chromium (v2) B,0.1175439357757568,0.0098764896392822,326229.26947495475,0.8746120422098076,0.8615456238361267,0.8789208527305579,0.9217513697779716,0.9069750327624412,0.1253879577901924,0.0503004554066528,0.132896830436145,0.0641857132227633,0.115847522198786,0.0572581133116429,0.0749719806303187,0.0343140694618374,0.0920729159520595,0.0401464691117022,1.3320083625958654,0.8636491161577756
scimilarity,64,2,10x Chromium (v2) B,0.1175439357757568,0.0119211673736572,270275.54424911505,0.8786468032278089,0.8657728119180633,0.881788941632964,0.9246166512716456,0.9113009031900404,0.1213531967721911,0.0503510124577527,0.1284237461347517,0.0637686993938477,0.1128880811863398,0.0578462656610451,0.0721537610657454,0.0350423619265443,0.0878007988063598,0.0419146952764921,1.2327161744123571,0.8682824546609015
scimilarity,64,4,10x Chromium (v2) B,0.1175439357757568,0.0204992294311523,157176.63977669226,0.8848541278708877,0.868268156424581,0.8832136387836174,0.9260877279554192,0.91355480797947,0.1151458721291123,0.0490750393032526,0.1256852595206015,0.0640110787507548,0.1113978736296058,0.0584548568743885,0.07073262635423,0.0351705845230366,0.0856571867082662,0.0418424642680796,1.1897943247591218,0.8705041606415141
scimilarity,64,8,10x Chromium (v2) B,0.1175439357757568,0.0345480442047119,93261.42981953692,0.8851644941030415,0.868671632526381,0.8834397587481754,0.9263744907070692,0.91378649560888,0.1148355058969584,0.0490154894295935,0.1251863571322877,0.0635985988385371,0.1111522268531857,0.058579465839276,0.0704432465751276,0.0351450466207846,0.0854296885196111,0.0420440775432569,1.1848463947018055,0.8707031292548055
